SARS,EntrezID,Symbol
sars-cov2e,8546,AP3B1
sars-cov2e,23476,BRD4
sars-cov2e,6046,BRD2
sars-cov2e,10283,CWC27
sars-cov2e,124245,ZC3H18
sars-cov2e,57153,SLC44A2
sars-cov2m,9512,PMPCB
sars-cov2m,10897,YIF1A
sars-cov2m,481,ATP1B1
sars-cov2m,34,ACADM
sars-cov2m,2108,ETFA
sars-cov2m,2040,STOM
sars-cov2m,2677,GGCX
sars-cov2m,523,ATP6V1A
sars-cov2m,5714,PSMD8
sars-cov2m,7905,REEP5
sars-cov2m,23203,PMPCA
sars-cov2m,196527,ANO6
sars-cov2m,10531,PITRM1
sars-cov2m,10463,SLC30A9
sars-cov2m,60493,FASTKD5
sars-cov2m,148867,SLC30A7
sars-cov2m,10426,TUBGCP3
sars-cov2m,79934,COQ8B
sars-cov2m,113174,SAAL1
sars-cov2m,92840,REEP6
sars-cov2m,92105,INTS4
sars-cov2m,89874,SLC25A21
sars-cov2m,10844,TUBGCP2
sars-cov2m,80222,TARS2
sars-cov2m,57142,RTN4
sars-cov2m,51439,FAM8A1
sars-cov2m,10157,AASS
sars-cov2m,26993,AKAP8L
sars-cov2m,25980,AAR2
sars-cov2m,28969,BZW2
sars-cov2n,9136,RRP9
sars-cov2n,26986,PABPC1
sars-cov2n,1459,CSNK2A2
sars-cov2n,1460,CSNK2B
sars-cov2n,10146,G3BP1
sars-cov2n,8761,PABPC4
sars-cov2n,23367,LARP1
sars-cov2n,25940,FAM98A
sars-cov2n,79753,SNIP1
sars-cov2n,5976,UPF1
sars-cov2n,4343,MOV10
sars-cov2n,9908,G3BP2
sars-cov2n,9188,DDX21
sars-cov2n,55131,RBM28
sars-cov2n,25873,RPL36
sars-cov2spike,51125,GOLGA7
sars-cov2spike,25921,ZDHHC5
sars-cov2nsp1,5422,POLA1
sars-cov2nsp1,5557,PRIM1
sars-cov2nsp1,5558,PRIM2
sars-cov2nsp1,23649,POLA2
sars-cov2nsp1,79709,COLGALT1
sars-cov2nsp1,5318,PKP2
sars-cov2nsp10,161,AP2A2
sars-cov2nsp10,2671,GFER
