drugbank_id entrez_id
DB02656 5243
DB02656 207
DB02656 596
DB02656 329
DB02656 332
DB02656 332
DB02656 894
DB02656 54541
DB02656 355
DB02656 2729
DB02656 2730
DB02656 2937
DB02656 3479
DB02656 406991
DB02656 4313
DB02656 4318
DB02656 27250
DB02656 7422
DB01726 1646
DB01726 3576
DB01726 1543
DB01726 3162
DB01726 1728
DB04586 1583
DB04586 1586
DB04586 1588
DB04586 3292
DB04586 3295
DB04586 3284
DB04586 6770
DB02342 1499
DB02342 10382
DB02342 7422
DB01957 6356
DB01957 6364
DB01957 729230
DB01957 1234
DB01957 3458
DB01957 59067
DB01957 3578
DB01957 54575
DB01957 6846
DB01957 7518
DB02699 1277
DB02699 1284
DB02699 1382
DB02699 355
DB02699 3169
DB02699 2627
DB02699 3713
DB02699 3875
DB02699 3880
DB02699 3855
DB02699 3856
DB02699 4170
DB02699 4211
DB02699 4212
DB02699 4222
DB02699 4586
DB02699 4973
DB02699 5914
DB02699 5918
DB02699 5920
DB02699 7052
DB04311 10257
DB06819 16
DB06819 16
DB06819 10598
DB06819 84962
DB06819 1645
DB06819 604
DB06819 833
DB06819 833
DB06819 10370
DB06819 9076
DB06819 84319
DB06819 29097
DB06819 4848
DB06819 1289
DB06819 7812
DB06819 10675
DB06819 57696
DB06819 9521
DB06819 9343
DB06819 51162
DB06819 30845
DB06819 2166
DB06819 10056
DB06819 2192
DB06819 2247
DB06819 60674
DB06819 2621
DB06819 2878
DB06819 2887
DB06819 2941
DB06819 3133
DB06819 3159
DB06819 3181
DB06819 3183
DB06819 3303
DB06819 3306
DB06819 22824
DB06819 10808
DB06819 3397
DB06819 51194
DB06819 51111
DB06819 4144
DB06819 54471
DB06819 51023
DB06819 56945
DB06819 4494
DB06819 4500
DB06819 54820
DB06819 84365
DB06819 57486
DB06819 9221
DB06819 64434
DB06819 9975
DB06819 11315
DB06819 5074
DB06819 84306
DB06819 56655
DB06819 5430
DB06819 5430
DB06819 51645
DB06819 9939
DB06819 6130
DB06819 84324
DB06819 5002
DB06819 10569
DB06819 27131
DB06819 6659
DB06819 10772
DB06819 84447
DB06819 8887
DB06819 30851
DB06819 92609
DB06819 50999
DB06819 50999
DB06819 7112
DB06819 29896
DB06819 7249
DB06819 55720
DB06819 55236
DB06819 55284
DB06819 84916
DB06819 10785
DB06819 25937
DB06819 57510
DB06819 51441
DB06819 57621
DB06819 30834
DB05990 8647
DB05990 1581
DB05990 8431
DB05990 6554
DB01933 5925
DB01933 6667
DB08880 3577
DB08880 3587
DB08880 7157
DB01048 7350
DB12565 6348
DB12565 6354
DB12565 3162
DB12565 3163
DB12565 3551
DB12565 4790
DB12565 5971
DB12565 25828
DB12565 10587
DB04944 4208
DB04944 6513
DB01193 2353
DB00316 127550
DB00316 51166
DB00316 22848
DB00316 441376
DB00316 60496
DB00316 10157
DB00316 18
DB00316 19
DB00316 23460
DB00316 10351
DB00316 10350
DB00316 23456
DB00316 8647
DB00316 5244
DB00316 10058
DB00316 4363
DB00316 1244
DB00316 8714
DB00316 10257
DB00316 368
DB00316 215
DB00316 6059
DB00316 9429
DB00316 64240
