entrez_id,symbol,Annotated_drug_processing,Disease_gene_Menche,Disease_gene_New,Drug_target,neighbors,nb_disease_genes_2015,nb_disease_gene_New,nb_drug_target,Palliative_target,zscore,Transcription_factor
9796,PHYHIP,No,No,No,No,31,5,7,6,No,-0.047717444,No
56992,KIF15,No,No,No,No,30,6,6,4,No,-0.56876064,No
7918,GPANK1,No,Yes,Yes,No,106,18,31,11,No,-0.923303301,No
9240,PNMA1,No,No,No,No,178,21,37,16,No,-1.418223014,No
8233,ZRSR2,No,No,No,No,50,3,11,8,No,-0.220973515,Yes
23548,TTC33,No,No,No,No,23,7,11,3,No,-0.637613123,No
4899,NRF1,No,No,No,No,521,62,123,76,No,-0.522091017,Yes
11253,MAN1B1,No,Yes,Yes,Yes,10,5,4,2,No,-0.048479306,No
5297,PI4KA,No,No,No,No,113,39,42,24,No,0.152043834,No
8601,RGS20,No,No,No,No,100,19,26,15,No,-0.507023938,No
6564,SLC15A1,No,No,No,Yes,66,9,20,10,No,-0.471596287,No
8933,RTL8C,No,No,No,No,23,7,9,7,No,0.673753138,No
8668,EIF3I,No,No,No,No,122,25,54,45,No,1.69885304,No
22976,PAXIP1,No,No,No,No,134,24,44,23,No,-0.205598544,Yes
10826,FAXDC2,No,No,No,No,35,6,12,9,No,0.452871358,No
345274,SLC10A6,No,No,No,Yes,150,23,48,19,No,-0.700895434,No
4489,MT1A,No,No,No,Yes,6,2,3,2,Yes,0.512211067,No
7157,TP53,No,Yes,Yes,Yes,762,173,296,232,No,0.905726957,Yes
6272,SORT1,No,No,No,No,138,32,56,24,No,-0.442789406,No
54873,PALMD,No,No,No,No,9,1,2,2,No,-0.043019652,No
4041,LRP5,No,Yes,Yes,No,44,17,16,3,No,-1.129672445,No
50943,FOXP3,No,Yes,No,No,663,183,319,238,No,0.960643033,Yes
6202,RPS8,No,No,No,Yes,193,27,48,38,No,-0.253575522,No
9733,SART3,No,Yes,No,No,134,13,30,22,No,-0.284386307,Yes
924,CD7,No,No,No,No,54,14,17,7,No,-0.668852041,No
94097,SFXN5,No,No,No,No,77,17,28,19,No,0.52433067,No
65005,MRPL9,No,No,No,No,68,4,10,6,No,-1.003851592,No
80775,TMEM177,No,No,No,No,31,1,4,6,No,-0.047717444,No
5704,PSMC4,No,No,No,No,88,15,26,27,No,0.913453275,No
80755,AARSD1,No,No,No,No,134,23,51,24,No,-0.126810781,No
1958,EGR1,Yes,No,No,No,910,185,324,195,No,0.567077822,Yes
54965,PIGX,No,No,No,No,3,0,1,1,No,0.459777032,No
6633,SNRPD2,No,No,No,Yes,86,17,22,11,No,-0.644771378,No
9128,PRPF4,No,No,Yes,No,93,17,27,11,No,-0.742486241,No
85289,KRTAP4-5,No,No,No,No,62,6,6,4,No,-1.209746223,No
386675,KRTAP10-7,No,No,No,No,289,37,54,28,No,-1.097534372,No
6872,TAF1,No,Yes,Yes,No,677,103,199,123,No,-0.091915089,Yes
85028,SNHG12,No,No,No,No,7,4,4,0,No,-1.153679204,No
10451,VAV3,No,No,Yes,No,45,19,25,20,No,2.204543758,No
54764,ZRANB1,No,No,No,No,161,18,42,7,No,-1.807576332,No
3846,KRTAP5-9,No,No,No,No,198,28,39,25,No,-0.941776313,No
386682,KRTAP10-3,No,No,No,No,294,35,66,34,No,-0.846076592,No
3163,HMOX2,No,No,No,Yes,90,13,29,21,No,0.247732354,No
91289,LMF2,No,No,No,No,22,1,4,6,No,0.511388112,No
2353,FOS,No,No,Yes,Yes,715,150,237,144,No,0.100291177,Yes
23411,SIRT1,No,No,No,Yes,179,54,86,58,No,0.805194925,Yes
5611,DNAJC3,No,No,No,No,14,4,4,6,No,1.606971458,No
7316,UBC,No,No,No,No,5198,1015,1829,1164,No,9.436024084,No
3965,LGALS9,No,No,No,Yes,79,18,35,27,No,1.593881679,No
10130,PDIA6,No,No,No,No,68,17,26,20,No,0.851065619,No
4609,MYC,Yes,Yes,Yes,Yes,1107,218,381,263,No,1.189460016,Yes
10084,PQBP1,No,Yes,No,No,72,14,28,14,No,0.021444321,Yes
9064,MAP3K6,No,No,No,Yes,36,6,11,13,No,1.25158222,No
54474,KRT20,No,No,No,No,53,7,11,4,No,-1.185118624,No
115265,DDIT4L,No,No,No,No,593,78,172,96,No,-0.33903743,No
114791,TUBGCP5,No,No,No,No,37,5,15,6,No,-0.390739219,No
653784,MZT2A,No,No,No,No,23,2,8,3,No,-0.637613123,No
2147,F2,No,Yes,Yes,Yes,36,16,18,26,No,4.236390025,No
6696,SPP1,No,No,Yes,No,91,16,26,23,No,0.501838526,No
23385,NCSTN,No,Yes,Yes,No,159,28,53,35,No,0.284979462,No
1759,DNM1,No,No,Yes,No,62,16,28,13,No,0.168159745,No
23523,CABIN1,No,No,No,No,28,2,9,6,No,0.120014384,No
10726,NUDC,No,No,No,Yes,98,20,32,13,No,-0.552220436,No
55764,IFT122,No,No,No,No,30,9,14,7,No,0.249520797,No
963,CD53,No,No,No,No,86,15,29,8,No,-0.960386447,No
57228,SMAGP,No,No,No,No,39,1,8,9,No,0.303270434,No
2932,GSK3B,No,No,No,Yes,416,107,178,118,No,-0.137678485,No
4853,NOTCH2,No,Yes,Yes,No,71,20,25,14,No,0.021444321,Yes
2520,GAST,No,No,No,Yes,34,3,13,5,No,-0.437390604,No
55739,NAXD,No,No,Yes,No,32,7,10,4,No,-0.646263349,No
386676,KRTAP10-9,No,No,No,No,227,31,49,25,No,-1.148945304,No
57709,SLC7A14,No,No,Yes,No,49,6,6,5,No,-0.744187663,No
93380,MMGT1,No,No,No,No,156,22,46,27,No,-0.207957986,No
5817,PVR,No,No,No,Yes,105,16,21,6,No,-1.372963999,No
84102,SLC41A2,No,No,No,No,37,6,10,3,No,-1.148939576,No
1186,CLCN7,No,Yes,Yes,No,55,12,23,8,No,-0.47780644,No
54682,MANSC1,No,No,No,No,89,12,30,23,No,0.469639328,Yes
891,CCNB1,No,No,No,No,120,28,45,31,No,0.526553917,No
9133,CCNB2,No,No,No,No,28,6,9,7,No,0.383766927,No
11033,ADAP1,No,No,No,No,20,3,10,8,No,1.252667301,No
22809,ATF5,No,No,No,No,22,7,12,4,No,-0.242093308,Yes
100130958,SYCE1L,No,No,No,No,36,3,9,3,No,-1.044423784,No
1017,CDK2,No,Yes,Yes,Yes,569,113,194,143,No,0.091138498,Yes
3276,PRMT1,No,No,No,Yes,133,30,45,26,No,0.030764746,No
4728,NDUFS8,No,Yes,No,Yes,48,16,15,24,No,2.541676695,No
25915,NDUFAF3,No,No,No,No,42,12,14,12,No,0.642144858,No
5307,PITX1,No,Yes,Yes,No,112,22,28,6,No,-1.401654095,Yes
337974,KRTAP19-7,No,No,No,No,85,17,30,6,No,-1.170796492,No
5295,PIK3R1,No,No,Yes,Yes,572,146,258,269,No,1.244376092,No
6850,SYK,No,No,Yes,Yes,201,62,101,80,No,1.611604508,No
6732,SRPK1,No,No,No,No,229,38,72,51,No,0.15604188,No
7325,UBE2E2,No,No,Yes,No,81,16,25,9,No,-0.856440794,No
6595,SMARCA2,No,No,No,No,78,27,33,18,No,0.390636794,Yes
3238,HOXD12,No,No,No,No,19,6,13,1,No,-1.280275105,Yes
9935,MAFB,No,No,Yes,No,30,8,16,4,No,-0.56876064,Yes
28969,BZW2,No,No,Yes,No,34,9,9,4,No,-0.699249452,No
55248,PACC1,No,No,No,No,91,13,29,5,No,-1.364648624,No
10454,TAB1,No,No,No,Yes,141,24,46,38,No,0.468570449,No
11151,CORO1A,No,No,No,No,46,5,16,4,No,-0.994809567,Yes
344387,CDKL4,No,No,No,No,17,4,7,5,No,0.679496142,No
653269,POTEI,No,No,No,No,57,19,27,23,No,1.554937116,No
84988,PPP1R16A,No,No,No,No,54,4,10,10,No,-0.152585457,No
91419,ATP23,No,No,No,No,42,9,16,3,No,-1.040437238,No
2114,ETS2,No,No,No,No,40,14,24,12,No,0.798709245,Yes
203286,ANKS6,No,No,Yes,No,24,2,10,5,No,0.019612766,No
23386,NUDCD3,No,No,No,No,126,17,40,15,No,-0.835900649,No
6667,SP1,Yes,No,No,No,705,168,269,183,No,0.457245671,Yes
23636,NUP62,No,Yes,No,No,122,28,37,16,No,-0.729480857,Yes
28511,NKIRAS2,No,No,No,No,18,3,5,2,No,-0.771136663,No
406881,MIRLET7A1,No,No,No,No,4,0,0,0,No,-0.934308929,No
3433,IFIT2,No,No,No,No,28,8,10,1,No,-1.198748328,No
6773,STAT2,No,Yes,Yes,No,152,32,49,34,No,0.223362281,Yes
6790,AURKA,No,No,Yes,Yes,276,58,104,76,No,0.914127872,No
55352,COPRS,No,No,No,No,36,4,9,6,No,-0.355621983,No
6434,TRA2B,No,No,No,No,70,3,13,15,No,0.227484656,No
7307,U2AF1,No,No,No,No,122,18,28,25,No,0.024140008,Yes
10524,KAT5,No,No,No,No,309,64,109,68,No,0.578850832,Yes
653121,ZBTB8A,No,No,No,No,78,11,18,4,No,-1.481077471,Yes
30012,TLX3,No,No,Yes,No,118,24,29,9,No,-1.315630418,Yes
22803,XRN2,No,No,Yes,No,53,8,20,12,No,0.191592266,Yes
55677,IWS1,No,No,No,No,25,6,11,1,No,-1.464362512,No
6125,RPL5,No,Yes,Yes,No,163,23,45,47,No,0.977511068,No
23029,RBM34,No,No,No,No,115,16,31,13,No,-0.797438234,No
8773,SNAP23,No,No,No,No,66,9,23,12,No,-0.186723403,No
375260,WASH2P,No,No,No,No,6,1,2,1,No,-0.307864395,No
801,CALM1,No,No,Yes,Yes,109,32,58,45,Yes,2.134389449,No
3845,KRAS,No,Yes,Yes,Yes,105,23,44,34,No,1.145135912,No
3628,INPP1,No,No,No,No,14,2,3,3,No,0.112298202,No
55759,WDR12,No,Yes,Yes,No,31,7,8,4,No,-0.614169678,No
5536,PPP5C,No,No,Yes,Yes,106,23,48,32,No,0.965271633,No
653404,FOXD4L6,No,No,No,No,23,2,6,6,No,0.345911573,Yes
9129,PRPF3,No,Yes,Yes,No,152,23,39,13,No,-1.07059852,No
11198,SUPT16H,No,No,No,No,110,25,32,21,No,-0.106905821,Yes
