# Disease: COVID-19	
# Date: 2021-03-03 22:03:06.428811	
Drug ID	Distance score
DB01117	0.23289
DB01201	0.45584
DB00608	0.54477
DB00834	0.58335
DB00431	0.59244
DB09029	0.63131
DB11574	0.67035
DB09065	0.68604
DB09054	0.70224
DB09102	0.71763
DB08880	0.72309
DB11569	0.81192
DB01058	0.82051
DB00503	0.83466
DB13179	0.86126
DB01222	0.89667
DB09212	0.90395
DB00687	0.95956
DB08865	0.96611
DB09101	1.03216
DB01097	1.04075
DB00959	1.10421
DB08908	1.10526
DB00635	1.13467
DB11591	1.14985
DB00741	1.15846
DB01410	1.16114
DB00244	1.17339
DB00860	1.17763
DB04216	1.18326
DB00043	1.20708
DB09033	1.25506
DB07702	1.28929
DB00620	1.2927
DB00394	1.29956
DB00390	1.31553
DB00939	1.31718
DB01380	1.34019
DB00051	1.3422
DB00065	1.34777
DB00288	1.35714
DB00811	1.36935
DB01047	1.36942
DB01232	1.37642
DB00324	1.38494
DB03766	1.39641
DB01281	1.40243
DB00253	1.42056
DB01234	1.42511
DB00640	1.42801
DB05259	1.42834
DB00896	1.43795
DB01013	1.45045
DB00593	1.46228
DB08879	1.47938
DB00586	1.48435
DB09048	1.49688
DB00220	1.50059
DB06681	1.5209
DB01045	1.5253
DB00022	1.5314
DB00788	1.53302
DB01698	1.58062
DB01065	1.60428
DB00856	1.65323
DB00068	1.68958
DB06273	1.69007
DB00060	1.69503
DB08439	1.70142
DB00443	1.72937
DB09183	1.76553
DB00461	1.81409
DB06414	1.81768
DB06228	1.82371
DB06789	1.86482
DB09105	1.89413
DB00008	1.90263
DB00950	1.90563
DB11750	1.92641
DB04789	1.92681
DB00196	1.93454
DB00291	1.97543
DB00701	1.97834
DB02165	2.04854
DB01007	2.05621
DB00615	2.05833
DB00895	2.0723
DB01220	2.07914
DB00932	2.08326
DB09296	2.10299
DB11581	2.1101
DB01590	2.11535
DB03166	2.11735
DB00499	2.16363
DB01601	2.18405
DB00963	2.21102
DB08819	2.21343
DB02648	2.21449
DB00465	2.22406
DB00469	2.25178
DB00238	2.25523
DB08868	2.25524
DB00705	2.2636
DB06725	2.27101
DB01256	2.28966
DB00357	2.29008
DB04868	2.32247
DB00764	2.33526
DB04845	2.336
DB00625	2.34452
DB01551	2.34474
DB09119	2.34678
DB05239	2.35502
DB01006	2.36649
DB09570	2.37199
DB04854	2.38115
DB00352	2.39398
DB00641	2.39858
DB08933	2.40729
DB04911	2.41941
DB08864	2.41998
DB01171	2.42347
DB01037	2.42501
DB00224	2.4295
DB00239	2.44757
DB09198	2.44821
DB00468	2.44896
DB04932	2.4556
DB09291	2.45848
DB09143	2.45857
DB06820	2.46476
DB00673	2.46476
DB09274	2.47593
DB00936	2.47675
DB00014	2.48284
DB00990	2.48475
DB01217	2.48506
DB01131	2.48761
DB00993	2.49231
DB00891	2.49288
DB00563	2.49361
DB00916	2.50754
DB00588	2.51041
DB06786	2.51137
DB00197	2.51548
DB06287	2.51631
DB00974	2.51959
DB00711	2.52605
DB01008	2.52703
DB13867	2.52768
DB00250	2.52768
DB06717	2.52825
DB08906	2.53169
DB00351	2.53362
DB00507	2.53898
DB06267	2.54259
DB00814	2.54425
DB01095	2.5473
DB06819	2.56697
DB00396	2.5736
DB01128	2.58028
DB09297	2.58646
DB08899	2.58786
DB00752	2.59001
DB06209	2.60978
DB01126	2.61604
DB01583	2.62338
DB00857	2.62855
DB00991	2.63541
DB01283	2.63558
DB06708	2.63887
DB01166	2.64594
DB00724	2.65158
DB04938	2.65355
DB01057	2.65477
DB06770	2.66235
DB00317	2.67208
DB01093	2.69097
DB01219	2.69378
DB00279	2.69843
DB01110	2.69901
DB00471	2.69931
DB00582	2.70829
DB00533	2.71219
DB00763	2.71605
DB00257	2.71883
DB03904	2.72192
DB01611	2.72368
DB05311	2.73507
DB00307	2.73546
DB00451	2.73631
DB00603	2.7383
DB01196	2.74331
DB06401	2.74436
DB00549	2.77304
DB08875	2.77703
DB00531	2.7783
DB01048	2.81129
DB04572	2.81278
DB00951	2.81595
DB05773	2.83678
DB01181	2.84492
DB00444	2.8488
DB01600	2.84888
DB05109	2.85557
DB01401	2.85979
DB00208	2.86212
DB08930	2.86595
DB01127	2.86636
DB00738	2.87314
DB06403	2.88005
DB09036	2.89615
DB01116	2.91083
DB01399	2.91272
DB00136	2.93196
DB06626	2.95196
DB00946	2.9579
DB00359	2.97574
DB00482	2.987
DB09053	2.99279
DB01357	2.99827
DB01274	3.0118
DB00361	3.02119
DB00259	3.02132
DB01216	3.02587
DB00799	3.04965
DB00509	3.05508
DB00758	3.06192
DB01096	3.07027
DB00176	3.07376
DB00784	3.07432
DB00530	3.07727
DB04027	3.0773
DB00630	3.07834
DB06147	3.08828
DB00528	3.10105
DB14126	3.10564
DB00773	3.11477
DB00358	3.12737
DB01394	3.13074
DB00092	3.13869
DB00300	3.14162
DB00282	3.14305
DB01005	3.1456
DB00617	3.15792
DB06412	3.16465
DB00917	3.179
DB06285	3.17901
DB05812	3.19114
DB09389	3.19119
DB09299	3.20469
