,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
0,1,A1BG,A1B|ABG|GAB|HYST2477,MIM:138670|HGNC:HGNC:5|Ensembl:ENSG00000121410,19,19q13.43,alpha-1-B glycoprotein,protein-coding
1,2,A2M,A2MD|CPAMD5|FWP007|S863-7,MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899,12,12p13.31,alpha-2-macroglobulin,protein-coding
3,9,NAT1,AAC1|MNAT|NAT-1|NATI,MIM:108345|HGNC:HGNC:7645|Ensembl:ENSG00000171428,8,8p22,N-acetyltransferase 1,protein-coding
4,10,NAT2,AAC2|NAT-2|PNAT,MIM:612182|HGNC:HGNC:7646|Ensembl:ENSG00000156006,8,8p22,N-acetyltransferase 2,protein-coding
6,12,SERPINA3,AACT|ACT|GIG24|GIG25,MIM:107280|HGNC:HGNC:16|Ensembl:ENSG00000196136,14,14q32.13,serpin family A member 3,protein-coding
7,13,AADAC,CES5A1|DAC,MIM:600338|HGNC:HGNC:17|Ensembl:ENSG00000114771,3,3q25.1,arylacetamide deacetylase,protein-coding
8,14,AAMP,-,MIM:603488|HGNC:HGNC:18|Ensembl:ENSG00000127837,2,2q35,angio associated migratory cell protein,protein-coding
9,15,AANAT,DSPS|SNAT,MIM:600950|HGNC:HGNC:19|Ensembl:ENSG00000129673,17,17q25.1,aralkylamine N-acetyltransferase,protein-coding
10,16,AARS1,AARS|CMT2N|EIEE29,MIM:601065|HGNC:HGNC:20|Ensembl:ENSG00000090861,16,16q22.1,alanyl-tRNA synthetase 1,protein-coding
12,18,ABAT,GABA-AT|GABAT|NPD009,MIM:137150|HGNC:HGNC:23|Ensembl:ENSG00000183044,16,16p13.2,4-aminobutyrate aminotransferase,protein-coding
13,19,ABCA1,ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|TGD,MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029,9,9q31.1,ATP binding cassette subfamily A member 1,protein-coding
14,20,ABCA2,ABC2,MIM:600047|HGNC:HGNC:32|Ensembl:ENSG00000107331,9,9q34.3,ATP binding cassette subfamily A member 2,protein-coding
15,21,ABCA3,ABC-C|ABC3|EST111653|LBM180|SMDP3,MIM:601615|HGNC:HGNC:33|Ensembl:ENSG00000167972,16,16p13.3,ATP binding cassette subfamily A member 3,protein-coding
16,22,ABCB7,ABC7|ASAT|Atm1p|EST140535,MIM:300135|HGNC:HGNC:48|Ensembl:ENSG00000131269,X,Xq13.3,ATP binding cassette subfamily B member 7,protein-coding
17,23,ABCF1,ABC27|ABC50,MIM:603429|HGNC:HGNC:70|Ensembl:ENSG00000204574,6,6p21.33,ATP binding cassette subfamily F member 1,protein-coding
18,24,ABCA4,ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1,MIM:601691|HGNC:HGNC:34|Ensembl:ENSG00000198691,1,1p22.1,ATP binding cassette subfamily A member 4,protein-coding
19,25,ABL1,ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl,MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007,9,9q34.12,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein-coding
20,26,AOC1,ABP|ABP1|DAO|DAO1|KAO,MIM:104610|HGNC:HGNC:80|Ensembl:ENSG00000002726,7,7q36.1,amine oxidase copper containing 1,protein-coding
